,RU,EN
3093,Рядом со мной сидел тихий и скромный ученик.,A quiet and humble student was sitting next to me.
3094,"Иванов писал отличные стихи, но гонорары были очень скромные.","Despite the fact that Ivanov composed excellent poems, his payment for them was very modest."
3095,Он готов работать даже за скромное вознаграждение.,He is willing to work even for a modest fee.
3096,"Конструкция имеет ряд слабых сторон, которые нужно учитывать при строительстве.",The design has a number of weak aspects that have to be taken into consideration during construction.
3097,"Сегодня, четырнадцатого октября, солнечно, максимальная температура воздуха плюс три градуса по Цельсию, ветер слабый.","Today, on the fourteenth of October, it is sunny, the high will be +3 degrees Celsius, not windy."
3098,У нас была слабая надежда успеть на самолёт.,We had a faint hope that we might manage to catch the flight.
3099,Традиция праздновать Дни славянской письменности возобновилась в 1986 году.,The tradition of celebrating the Days of Slavic Literacy was reestablished in 1986.
3100,"Мы знаем, что у всех славянских языков есть общий предок ― праславянский язык.",We know that all Slavic languages have a common ancestor ― the Proto-Slavic language.
3101,В 945 году князь Игорь отправился в земли славянского племени древлян и там был убит.,In the year 945 Prince Igor went to the lands of the Slavic Drevlyan tribe and was killed there.
3102,Осторожно! Эту вазу легко сломать.,Be careful! This vase is easy to break.
3103,"Он сломал ногу, поскользнувшись на льду.",He broke his leg when he slipped on the ice.
3104,Вчера пришли полицейские и сломали нам дверь.,Yesterday the policemen came and broke down our door.
3105,"― В Индии, в штате Ассам, в мой лагерь ночью пришли слоны, ― вспоминает Виктор.","In India, the state of Assam, elephants came into our camp at night, says Victor."
3106,"Африканский слон — самое большое из животных, проживающих на суше.",The African elephant is the largest animal living on land.
3107,"Громко, словно стадо африканских слонов, неслись по коридору школьники.","Loud as a herd of African elephants, students were running down the corridor."
3108,Их сын сейчас служит на границе с Японией.,Their son is now having his military service at the border with Japan.
3109,"Жители некоторых стран по конституции обязаны ходить на выборы. Примером могут служить Бельгия, Бразилия, Венесуэла, Греция, Италия и Люксембург.","Residents of certain countries according to the Constitution are required to go to the election polls. For example, Belgium, Brazil, Greece, Italy, Luxembourg and Venezuela."
3110,Стереотипы часто служат основой для анекдотов.,Stereotypes often serve as the basis for jokes.
3111,Это был дом хорошо образованных старых (в смысле «прежних») русских интеллигентов.,"It was the house of well educated old (in the sense of ""previous"") Russian intelligentsia."
3112,Она не видела смысла начинать с ним отношения.,She didn't see any point in starting a relationship with him.
3113,Он нашёл смысл своей жизни в детях.,He found the meaning of his life in his children.
3114,В Японии нужно снимать обувь перед входом в помещение.,"In Japan, you need to take off your shoes before entering a room."
3115,Вторую часть фильма снимал Гильермо Дель Торо.,The second part of the film was directed by Guillermo Del Toro.
3116,Она снимает однокомнатную квартиру на Тверской.,She rents a one-bedroom apartment on Tverskaya street.
3117,Она сегодня не собирается приходить на собрание?,She's not going to come to the meeting today?
3118,Они собираются поступать в медицинский.,They want to get into medical school.
3119,"Мы так долго собирались, что опоздали на фильм.",We spent so much time getting dressed that we were late for the movie.
3120,К кому ты обычно ходишь советоваться?,Who do you usually go to for advice?
3121,Она часто советовалась с ним по рабочим вопросам.,She often consulted with him on business matters.
3122,С Анной часто советуются перед сложными операциями.,Colleagues often consult with Anna before difficult operations.
3123,Когда стало известно о преступлениях советской власти?,When did people find out about the crimes committed by the Soviet government?
3124,Это здание не ремонтировали с советских времён.,This building has not been repaired since Soviet times
3125,"Многие российские дети не знают, как выглядит Советский флаг.",Many Russian children do not know what the Soviet flag looks like.
3126,Она не хотела соглашаться на такие условия работы.,She didn't want to agree to such working conditions.
3127,Он не соглашался работать ночью.,He didn't agree to work at night.
3128,Зачем он соглашается на такие условия?,Why does he agree to such terms?
3129,Новая студия позволяет художникам создавать настоящие произведения искусства.,The new studio allows artists to create real works of art.
3130,"Музыка в этом фильме создаёт особую, запоминающуюся атмосферу.","The music in this movie creates a special, memorable atmosphere."
3131,Многие подростки создают свои рок-группы.,Many teenagers form their own rock bands.
3132,Мимо нас строем прошли солдаты.,Soldiers marched past us in formation.
3133,Вдали мы увидели тысячу солдат с автоматами.,In the distance we saw a thousand soldiers with machine guns.
3134,"Она обращалась со своими учениками, как с солдатами.",She treated her students like soldiers.
3135,Эксперты продолжают сомневаться в подлинности этой картины.,Experts continue to doubt the authenticity of this painting.
3136,Я часто сомневаюсь в правильности своих поступков.,I often doubt whether my actions were right.
3137,"Он не сомневается, что получит эту должность.",He has no doubt that he will get the position.
3138,Я видел тебя во сне.,I saw you in my dream.
3139,После такого долгого дня тебе необходим крепкий сон.,"After such a long day, you need a good night's sleep."
3140,После ночи без сна она не могла работать.,After a sleepless night she couldn't work.
3141,Каждый участник соревнований застрахован от несчастного случая.,Each competitor is insured against an accident.
3142,Соревнования по плаванию проходили в новом бассейне.,Swimming competitions were held in the new pool.
3143,Ты будешь участвовать в соревнованиях по бегу?,Are you going to participate in the running competition?
3144,Мой папа любит шутить.,My father likes to make jokes.
3145,Друзья часто шутят над ним.,His friends often make fun of him.
3146,"Да шучу я! Конечно я не забыл, когда у тебя день рождения.",I'm kidding! Of course I didn't forget when your birthday is.
3147,"Главная сложность состоит в том, что никто не знает, что должно получиться в результате.",The main difficulty is that no one knows what should come out as a result.
3148,Он никогда не состоял ни в какой партии.,He was never a member of any party.
3149,Эти механизмы состоят из тысяч мелких деталей.,These mechanisms consist of thousands of small parts.
3150,Вася приготовил курицу в сливочном соусе.,Vasya cooked a chicken in a creamy sauce.
3151,Любое мясо он любит есть с соевым соусом.,He likes to eat all kinds of meat with soy sauce.
3152,Лучше всего он готовил томатный соус.,Best of all he could cook tomato sauce.
3153,В любой ситуации он сохраняет невозмутимость.,He remains calm in any situation.
3154,"Любую трудность она преодолевала, сохраняя улыбку.",She managed to overcome any difficulty with a smile on her face.
3155,"Немногие понимают, как важно сохранять исторические здания.",Not many people understand how important it is to preserve historical buildings.
3156,"Их концепция сочетает в себе идеи либерализма, социализма и консерватизма.","Their concept combines the ideas of liberalism, socialism, and conservatism."
3157,"Он сказал, что это возможно только при социализме.",He said that this is possible only under socialism.
3158,Что такое социализм и какие у него перспективы в нашей стране?,What is socialism and what are its perspectives in our country?
3159,Этот закон действует в интересах разных социальных групп.,Members of different social groups will benefit from this law.
3160,Он никому не давал пароль от своей социальной сети.,He didn't give anyone the password to his social media network.
3161,Мы помогаем людям независимо от их социального статуса.,We help to people regardless of their social status.
3162,Союз журналистов выступил с обращением.,The journalists’ union made a speech.
3163,После конфликта он вышел из союза писателей.,He left the writers’ union after the conflict.
3164,Почему Россия находилась в союзе с Францией?,Why Russia was in a union with France?
3165,Даже замена игрока не спасает их команду от поражения.,Even replacing the player cannot save their team from defeat.
3166,"При пожаре первыми нужно спасать людей, а уже потом — вещи.","When there is a fire, you first need to save the people, and only afterward the things."
3167,"Во время войны мешок картошки, доставленный в город, спасал многие семьи от неминуемой гибели.","During the war, a sack of potatoes delivered to the city saved many families from imminent death."
3168,Во сколько заканчивается этот спектакль?,At what time does this theater play end?
3169,Кто играет в сегодняшнем спектакле?,Who is acting in today’s play?
3170,Они успели к началу спектакля.,They managed to get there in time for the theater play.
3171,Для этой должности вам не нужно специальных знаний в экономике.,For this position you don’t need any special knowledge of economics.
3172,Будущие пилоты проходят в этом центре специальную подготовку.,Future pilots undergo special training at this center.
3173,В их школе есть специальные курсы по фотографии.,Their school offers special courses in photography.
3174,"Кажется, твои часы спешат. Сейчас только шесть часов вечера!",Your watch seems to be fast. It's only six o'clock in the evening!
3175,"Он выглядел так, словно никуда не спешил.",He looked like he was in no hurry.
3176,Костя не спеша пошёл к дому.,Kostya slowly walked toward his house.
3177,За спиной у Наташи был небольшой рюкзак.,Natasha had a small backpack on her back.
3178,От боли он не мог выпрямить спину.,"Due to the pain, he couldn't straighten his back."
3179,Она закричала от сильной боли в спине.,She screamed because of the intense pain in her back.
3180,"Составь список вещей, которые возьмёшь в поездку.",Make a list of the things you'll take on the trip.
3181,У нас нет постоянного списка участников.,We do not have a fixed list of participants.
3182,Когда опубликуют списки поступивших в этот университет?,When will they publish the lists of those who got accepted to this university?
3183,Она не любила спорить о политике.,She didn't like to argue about politics.
3184,О чём это они спорят?,What are they arguing about?
3185,"Они часто спорили о том, куда поехать отдыхать.",They often argued about where to go on vacation.
3186,"Вы даже не представляете, на что вы способны!",You can’t even imagine what you're capable of!
3187,Этот человек вообще не способен на зло.,This person isn’t capable of doing anything evil.
3188,"Он не считает, что чёрно-белое кино способно победить цветное.",He does not believe that black and white movies are able to win out over color movies.
3189,Сколько спутников у Марса?,How many satellites does Mars have?
3190,Этот снимок Земли был сделан со спутника.,This picture of the Earth was taken from a satellite.
3191,Их команда запускает спутники на орбиту.,Their team launches satellites into orbit.
3192,"Сравнивать себя нужно не с другими людьми, а с собой в прошлом.","Compare yourself not with other people, but with yourself in the past."
3193,Его часто сравнивают с Леонардо да Винчи.,He is often compared to Leonardo da Vinci.
3194,"Сравнивая три надписи, он понял значение иероглифов.","By comparing the three inscriptions, he figured out the meaning of the hieroglyphs."
3195,Я стараюсь каждое утро пробегать три километра.,I try to run three kilometers every morning.
3196,Александр старался не говорить с друзьями о политике.,Alexander tried not to talk about politics with his friends .
3197,Из каждого путешествия Миша старается привезти для своей коллекции что-нибудь новое.,Misha tries to bring something new from each trip for his collection.
3198,"Он часто видел, что в храме сидит старик, ― сидит, смотрит перед собой и молчит.","He often saw an old man sitting in the church: sitting, looking straight ahead and not saying a word."
3199,Почему же в таком случае старики у нас такие бедные?,"Why, then, are old people so poor?"
3200,Чаще всего мошенники обманывали доверчивых стариков.,Most often the swindlers were deceiving gullible old people.
3201,В середине комнаты стоял большой старинный шкаф.,There was a large old wardrobe in the middle of the room.
3202,На полках стояли старинные книги.,There were old books on the shelves.
3203,Он познакомился с хозяином старинного замка во Франции.,He met the owner of an ancient castle in France.
3204,Тебе всё ещё не выплатили стипендию?,You still haven't received your scholarship?
3205,Размер стипендий для студентов определяет руководство университета.,The amount of the scholarships for students is determined by the university administration.
3206,Стипендии не увеличивались уже три года.,Scholarships have not been increased for three years now.
3207,При какой температуре можно стирать эту рубашку?,At what temperature can I wash this shirt?
3208,"Современное искусство ― глобальное явление, оно стирает различия между людьми и народами.","Contemporary art is a global phenomenon, it erases the differences between people and nations."
3209,"У нас дома сломалась стиральная машина, поэтому пока я всё стираю на руках.",Our washing machine is broken so in the meantime I am washing everything by hand.
3210,"С одной стороны, цены в этом ресторане высокие, а с другой — готовят там правда вкусно.","On the one hand, the prices in this restaurant are high, but on the other — they cook really tasty meals."
3211,"Мне кажется, ситуация меняется не в лучшую сторону.",I think the situation is not changing for the better.
3212,Где-то в стороне стояли его друзья и курили.,Somewhere nearby his friends were standing and smoking.
3213,От деятельности завода страдают жители соседних домов.,The residents of the neighboring buildings suffer due to the operation of the factory.
3214,"Их кошка страдает, когда хозяева оставляют её надолго одну.",The cat suffers when its owners leave it alone for a long time.
3215,Я не страдаю от одиночества.,I don't suffer from loneliness.
3216,"Странно, что никто ему так и не позвонил.",It is strange that no one has called him.
3217,Это было самое странное решение в его жизни.,It was the strangest decision of his life.
3218,У нас очень странный сосед.,We have a very strange neighbor.
3219,Тебе не страшно прыгать с парашютом?,Aren't you afraid of skydiving?
3220,Спокойно! Ничего страшного не произошло. Сейчас всё исправим.,Calm down! Nothing terrible happened. We’ll fix it right away.
3221,"Так, самое страшное позади! Продолжаем путь!","Well, the scariest part is over! Let's keep going!"
3222,Он не стремится занимать высокие должности.,He does not seek to hold high positions.
3223,Они стремятся попасть в топ-пятьдесят компаний страны.,They are trying to get into the top fifty companies in the country.
3224,Он с детства стремился стать президентом.,Since childhood he aspired to become the president.
3225,Шум от стройки мешает нам работать.,The noise from the construction site prevents us from working.
3226,На стройке всегда много пыли и мусора.,At the construction site there is always a lot of dust and debris.
3227,Когда уже закончится эта стройка?,When will this construction finally be done?
3228,"Наверное, это моя судьба — всегда проигрывать.",It seems like it’s my fate to always lose.
3229,Он воспринимал все события в своей жизни как знаки судьбы.,He took all the events in his life as signs of fate.
3230,Она часто жаловалась на свою судьбу.,She often complained about her fate.
3231,Пользуйтесь феном осторожно ― под действием сухого горячего воздуха волосы могут стать тонкими и ломкими.,Use the hair dryer carefully ― its dry hot air can make hair thin and brittle.
3232,"На земле лежали сухие листья, сломанные ветки.",Dry leaves and broken branches were lying on the ground.
3233,"Июнь был сухой и солнечный, в отличие от дождливого июля.","Unlike rainy July, June was dry and sunny."
3234,"Для неё не существует фактов, только её мнение.","For her there are no facts, only her opinion."
3235,Существуют и другие способы решить эту проблему.,There are other ways to solve this problem.
3236,По этому поводу может существовать несколько мнений.,There may be several opinions on that matter.
3237,"На площади перед крепостью, где больше всего любят гулять туристы, можно сфотографироваться.",You can take a picture on the square in front of the fortress where most tourists like to walk.
3238,"Плавать в море было слишком холодно, поэтому я только сфотографировался на его фоне и поехал дальше.","It was too cold to swim in the sea, so I just took a picture of myself with the sea on the background and drove on."
3239,На сцене и в жизни я совершенно разная.,I am completely different on stage and in real life.
3240,Где Саша? Ему пора выходить на сцену!,Where is Sasha? It’s time for him to go on stage!
3241,"Он не слышал того, что говорили со сцены.",He didn't hear what was said on the stage.
3242,Он перевёл все свои деньги на счёт в швейцарском банке.,He transferred all his money to a Swiss bank account.
3243,Для получения визы вы должны предоставить справку со своего банковского счёта.,In order to get a visa you must provide a statement from your bank account.
3244,"Он и сам не знал, сколько денег у него на счёте.",He didn't know how much money he had in his account.
3245,"Я не считаю, что это правильное решение.",I don't think this is the right decision.
3246,"Как вы считаете, кто должен оплачивать счёт на первом свидании?",Who do you think should pay the bill on the first date?
3247,"Они не считают, что виноваты.",They don't think it's their fault.
3248,"Я не знаю, как сшивать эти детали.",I don't know how to sew these parts together.
3249,Все участники съезда тепло встретили председателя.,All the participants at the congress gave the chairman a warm welcome.
3250,Какие вопросы будут обсуждаться на съезде?,What questions will be discussed at the congress?
3251,В 1990 году состоялся первый съезд Демократического союза.,The first congress of the Democratic union was held in 1990.
3252,В её сумке лежали лишь записная книжка и таблетки от головной боли.,All she had in her purse was a notebook and some headache pills.
3253,Эта таблетка спасла его от боли.,That pill saved him from the pain.
3254,Сколько таблеток нужно пить за раз?,How many pills should I take at a time?
3255,Это коммерческая тайна и личное дело каждого акционера.,This is a commercial secret and a personal matter for each shareholder.
3256,Я могу доверить тебе эту тайну?,Can I trust you with this secret?
3257,На самом деле никакой тайны в этом нет.,"In fact, there is no mystery in this."
3258,На таможенном досмотре нужно вести себя спокойно.,At the customs inspection you need to behave calmly.
3259,Как заполнять таможенные декларации?,How does one fill out customs declarations?
3260,Инспектор попросил Александра остановиться для прохождения таможенного контроля.,The inspector asked Alexander to stop for customs control.
3261,У Монако нет собственной границы и таможни.,Monaco does not have its own border and customs.
3262,"Пограничный контроль и таможню мы прошли быстро, а досмотр перед самолётом был долгим.","We passed through border control and customs quickly, but the inspection before boarding the plane took a long time."
3263,Мы оставили вещи на таможне и пешком дошли до отеля.,We left our things at customs and went to the hotel on foot.
3264,Они могут работать на любой площадке ― им не нужно для творчества никаких особых условий.,They can work in any place― they don’t need any special conditions for creativity.
3265,В его творчестве мне больше всего нравились стихи.,Most of all among his works I liked the poems.
3266,"Творчество должно приносить радость, а не разочарование.","The creative process should bring joy, not disappointment."
3267,Мы же с тобой уже говорили на эту тему? Неужели так трудно запомнить?,"We’ve talked about this before, haven't we? Is it so hard to remember?"
3268,Тема моей статьи: «Развитие экономики в переходный период».,"The topic of my article is ""Economic Development in the Transitional Period""."
3269,Кто ещё хочет что-то добавить по этой теме?,Who else wants to add something on this topic?
3270,Он двадцать лет был деканом факультета теоретической физики.,He was the dean of the Theoretical Physics faculty for twenty years.
3271,Эта идея родилась в теоретических рассуждениях Стивена Хокинга.,This idea was born in the theoretical reasoning of Stephen Hawking.
3272,"Вопросов много, и они далеко не теоретические, поэтому лекция прерывается.","There are many questions, and they are not theoretical, so the lecture is being interrupted."
3273,Не пора ли перейти от теории к практике?,Isn’t it time to move from theory to practice?
3274,"В науке лишь та теория считается состоятельной, которую в принципе можно опровергнуть.","In science, only a falsifiable theory can be considered well-founded."
3275,Эйнштейн создал теорию относительности в 1905 году.,Einstein developed the theory of relativity in 1905.
3276,"Однажды на теплоходе ""Адмирал Нахимов"" я ехал в Одессу.","Once I went to Odessa on a ship named ""Admiral Nakhimov""."
3277,"В тот момент мы узнали, что теплоход, на котором мы должны были плыть в Японию, ушёл днём раньше.",At that moment we found out that the ship on which we were supposed to go to Japan had left the day before.
3278,"Летом он работал экскурсоводом на теплоходах, а зимой — официантом в кафе.",In summer he worked as a guide on ships and in winter — as a waiter in a cafe.
3279,В деревне было тихо и спокойно.,It was quiet and calm in the village.
3280,"В комнате звучал тихий шёпот, но я не мог понять, кто говорит.",There was a quiet whispering in the room but I couldn’t understand who was talking.
3281,Победу в войне она встретила с тихой радостью в душе.,She met the victory in war with a quiet joy in her heart.
3282,"Там очень шумно, а мне нужна тишина.",It's very noisy there and I need silence.
3283,После ссоры мы полчаса просидели в полной тишине.,After the quarrel we sat in silence for half an hour.
3284,"Он уже ничего не хотел, кроме самой простой тишины.",He wanted nothing but simple silence.
3285,"Эти девушки в день ткут всего по одному сантиметру шёлкового ковра, поэтому готов такой ковёр будет через пять-шесть месяцев.","These girls weave only one centimeter of silk carpet a day, so it takes five or six months to finish a carpet like this."
3286,"Раньше эту ткань ткали только вручную, а теперь — на фабриках.","Previously, this fabric was woven only by hand, and now it is woven in factories."
3287,"Она сама и ткала, и шила из этой ткани одежду.",She both wove and then sewed clothes from this fabric.
3288,Продажи импортных товаров в прошлом месяце сократились на двадцать процентов.,Sales of imported goods went down by twenty percent last month.
3289,Каждый хочет продать свой товар подороже.,Everyone wants to sell their goods for a higher price.
3290,Дополнительные налоги на производителя отразятся на стоимости товара.,Additional taxes on the manufacturer will affect the cost of the goods.
3291,Как определяют силу электрического тока?,How does one measure the strength of an electric current?
3292,"Есть люди, которые, как электрический ток, идут по пути наименьшего сопротивления.","There are people who, like an electric current, follow the path of least resistance."
3293,Он резко вздрогнул от удара током.,He was startled by the electric shock.
3294,На столе лежала большая стопка толстых журналов.,There was a large pile of thick magazines on the table.
3295,Толстые стены этого здания хорошо сохраняют тепло.,The thick walls of this building conserve heat well.
3296,На стене был толстый слой краски.,There was a thick layer of paint on the wall.
3297,,
3298,Первый том этой энциклопедии был издан в 1960 году.,The first volume of this encyclopedia was published in 1960.
3299,Об этом автор рассказал в предисловии ко второму тому.,The author wrote about that in the preface to the second volume.
3300,"Она выглядела больной: кожа тонкая и бледная, глаза тусклые, голос слабый.","She looked sick: her skin was thin and pale, her eyes were dull, her voice was weak."
3301,"После того, как тесто готово, тонкой струйкой вливаем в него масло.","Once the dough is ready, carefully pour oil into it."
3302,Помойте лук и нарежьте его тонкими ломтиками.,Wash the onion and cut it into thin slices.
3303,Объём торговли в 2003 году существенно увеличился.,The volume of trade increased significantly in 2003.
3304,Торговля золотом стала для них главным источником богатства.,Gold trading has become their main source of wealth.
3305,"Власти решили, что уличную торговлю нужно переводить в магазины.",The authorities decided that street trade should be transferred to shops.
3306,Поезд отправляется точно в полночь.,The train leaves at midnight exactly.
3307,Точное расписание конференции появится на следующей неделе.,The exact conference schedule will be available next week.
3308,"Вот мой точный адрес; отправьте письмо на него, пожалуйста!","Here is my exact address; send the letter to it, please!"
3309,Он очень любил запах свежескошенной травы.,He really loved the smell of freshly cut grass.
3310,"Они лежали на траве, разглядывая облака.","They lay on the grass, looking at the clouds."
3311,"Это был тот короткий период весны, когда трава уже выросла, а листья на деревьях — ещё нет.",It was that short period of spring when the grass had already grown but there weren't leaves on the trees yet.
3312,"Ты мне можешь объяснить, в чём трагедия? Что произошло?",Can you tell me what the tragedy is? What happened?
3313,Не драматизируйте ситуацию: никакой трагедии в этом нет. Сейчас всё исправим!,Don't exaggerate the situation: there is no tragedy in this. We’ll fix everything right away!
3314,Это событие он переживал как личную трагедию.,He experienced that event as a personal tragedy.
3315,В России существует традиция первой в новый дом запускать кошку.,In Russia there is a tradition to let a cat be the first to go inside a new house.
3316,"По традиции, первым будет говорить самый старший в семье.","According to tradition, the oldest in the family will be the first to speak."
3317,"Приятно, когда люди заботятся о сохранении добрых традиций.",It's nice when people care about keeping good traditions.
3318,"Это очень сложная работа, она требует высокого мастерства.","This is a very difficult job, it requires highly qualified skills."
3319,Эти глобальные вызовы требуют совместных усилий всех стран.,These global challenges require the united efforts of all countries.
3320,"Он всё время чего-то требовал: то повышения зарплаты, то хорошего освещения на рабочем месте, то разрешения не работать по субботам.","He was always demanding something: a salary increase, good lighting at the workplace, permission not to work on Saturdays."
3321,Главный тренер сборной России по футболу отказался комментировать результат вчерашнего матча.,The head coach of the Russian national football team refused to comment on the result of yesterday's game.
3322,Ты занимаешься в зале один или с тренером?,Do you exercise in gym alone or with a coach?
3323,"Проблема нашего спорта в том, что у нас отсутствуют не только успешные спортсмены, но и квалифицированные тренеры.","The problem with our sport is that we have a shortage not only of successful athletes, but also of qualified coaches."
3324,"Запоминая стихи, я тренирую свою память.",I train my memory by memorizing poems.
3325,"Во время активной прогулки, вы тренируете не только мышцы вашего тела, но и всю сердечно-сосудистую систему.","During a rigorous walk, you train not only the muscles of your body, but also the entire cardiovascular system."
3326,После завершения спортивной карьеры она начала тренировать молодых спортсменок.,After finishing her sports career she started coaching young athletes.
3327,Здесь тренируются молодые футболисты.,Young soccer players train here.
3328,"Он долго тренировался, чтобы выиграть Олимпийские игры.",He trained for a long time in order to win at the Olympics.
3329,Она тренируется пять раз в неделю.,She trains five times a week.
3330,"В её городе не было условий для тренировок, поэтому она переехала в Москву.","There were no training options in her city, so she moved to Moscow."
3331,Только регулярные тренировки способны привести спортсмена к победе.,Only regular training can lead an athlete to victory.
3332,"В жизни он очень весёлый, но на тренировках всегда серьёзен.","In life he is very cheerful, but during training sessions he is always serious."
3333,"Он расстроился из-за того, что получил тройку за сочинение.","He was upset that he got a ""C"" on his essay."
3334,Она пришла к финишу в тройке лидеров.,She came to the finish among top three leaders.
3335,Он часто делился с друзьями парой-тройкой фотографий из отпуска.,He often shared a few photos from his vacation with friends.
3336,"Бабушка всегда говорила мне, что чтобы добиться успеха, нужно много трудиться.",My grandmother always told me that it takes a lot of work to succeed.
3337,Он трудится с утра до ночи над новой книгой.,He is working from morning to night on a new book.
3338,На нашем заводе ежедневно трудятся триста рабочих.,300 workers work at our factory every day.
3339,"Она выросла честным, трудолюбивым, самостоятельным человеком.","She grew up to be an honest, hardworking, independent person."
3340,Я очень уважаю её трудолюбивый характер.,I respect her for her hard-working character.
3341,Трудолюбивые крестьяне каждое утро вставали до восхода солнца. ,The hard-working peasants woke up every morning before sunrise.
3342,"Через несколько часов туман рассеялся, и самолёты смогли вылететь из аэропорта.",A few hours later the fog cleared and planes were able to take off from the airport.
3343,Как таинственны туманы над озёрами!,How mysterious are the mists over the lakes!
3344,"Мы знали, что за туманом должен быть лес, но увидеть его было невозможно.","We knew there must be a forest behind the fog, but it was impossible to see it."
3345,На небе собрались дождевые тучи.,Rain clouds appeared in the sky.
3346,"Над лесом висела тяжёлая туча, но дождя не было.",There was a heavy cloud above the forest but it didn’t rain.
3347,"Увидев на небе огромную чёрную тучу, Саша решил взять зонт и надеть сапоги.","After spotting a huge black cloud in the sky, Sasha decided to take an umbrella and put on rain boots."
3348,"Он просидел в тюрьме десять лет, но не сломался и не обозлился.","He spent ten years in prison, but he didn't break down or get angry."
3349,"За это нарушение в тюрьму не садят, а назначают штраф.",For this crime people are not put in jail but instead get a fine.
3350,В 2001 году он освободился из тюрьмы и переехал в Калининград.,In 2001 he was released from prison and moved to Kaliningrad.
3351,"Когда я был маленьким, бабушка садилась рядом со мной, чтобы я делал уроки, а не убегал на футбол.","When I was little, my grandmother used to sit next to me so I would do my homework and not run away to play soccer."
3352,Главный герой фильма убегает из дома и начинает новую жизнь.,The main character in the film runs away from home and starts a new life.
3353,"Им хотелось сбежать из дома, но убегать было некуда.","They wanted to run away from home, but they had nowhere to run to."
3354,"Не надо убеждать меня в том, что я не прав.",Don’t try to convince me that I'm wrong.
3355,Они целый час убеждали меня купить эту машину.,They spent an hour trying to convince me to buy this car.
3356,"Мне стыдно будет, если я брошу людей, которых я убеждал драться до конца.",I'd be ashamed if I abandoned the people who I convinced to fight to the end.
3357,"Она была несогласна с тем, что готовить и убирать — чисто женское занятие.",She did not agree that cooking and cleaning was purely woman's work.
3358,После праздничных ужинов красивую посуду убирали в коробки и продолжали пользоваться обычными тарелками.,After the festive dinners the fancy plates were put into boxes and we went back to using the usual plates.
3359,"В их семье готовит и убирает муж, а жена зарабатывает деньги.","In their family, the husband cooks and cleans, and the wife earns money."
